Name,Pclass,Sex,Age,Survived
"Calic, Mr. Jovo",3,male,17,0
"Kallio, Mr. Nikolai Erland",3,male,17,0
"Calic, Mr. Petar",3,male,17,0
"Elias, Mr. Joseph Jr",3,male,17,0
"Jensen, Mr. Svend Lauritz",3,male,17,0
"Culumovic, Mr. Jeso",3,male,17,0
"Klasen, Mr. Klas Albin",3,male,18,0
"Cohen, Mr. Gurshon ""Gus""",3,male,18,1
"Wiklund, Mr. Jakob Alfred",3,male,18,0
"Rosblom, Mr. Viktor Richard",3,male,18,0
"Edvardsson, Mr. Gustaf Hjalmar",3,male,18,0
"Fischer, Mr. Eberhard Thelander",3,male,18,0
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",3,male,18,0
"Allum, Mr. Owen George",3,male,18,0
"Crease, Mr. Ernest James",3,male,19,0
"Burke, Mr. Jeremiah",3,male,19,0
"Dorking, Mr. Edward Arthur",3,male,19,1
"Johnson, Mr. William Cahoone Jr",3,male,19,0
"Beavan, Mr. William Thomas",3,male,19,0
"Gustafsson, Mr. Karl Gideon",3,male,19,0
"Stoytcheff, Mr. Ilia",3,male,19,0
"Patchett, Mr. George",3,male,19,0
"Cor, Mr. Liudevit",3,male,19,0
"Dakic, Mr. Branko",3,male,19,0
"Soholt, Mr. Peter Andreas Lauritz Andersen",3,male,19,0
"Petroff, Mr. Nedelio",3,male,19,0
"Saundercock, Mr. William Henry",3,male,20,0
"Andreasson, Mr. Paul Edvin",3,male,20,0
"Coelho, Mr. Domingos Fernandeo",3,male,20,0
"Betros, Mr. Tannous",3,male,20,0
"Hampe, Mr. Leon",3,male,20,0
"Nakid, Mr. Sahid",3,male,20,1
"Jensen, Mr. Hans Peder",3,male,20,0
"Lindqvist, Mr. Eino William",3,male,20,1
"Olsvigen, Mr. Thor Anderson",3,male,20,0
"Oreskovic, Mr. Luka",3,male,20,0
"Barah, Mr. Hanna Assi",3,male,20,1
"Alhomaki, Mr. Ilmari Rudolf",3,male,20,0
"Gustafsson, Mr. Alfred Ossian",3,male,20,0
"Lovell, Mr. John Hall (""Henry"")",3,male,20.5,0
"Cann, Mr. Ernest Charles",3,male,21,0
"Nosworthy, Mr. Richard Cater",3,male,21,0
"Pekoniemi, Mr. Edvard",3,male,21,0
"Sivola, Mr. Antti Wilhelm",3,male,21,0
"Jansson, Mr. Carl Olof",3,male,21,1
"Birkeland, Mr. Hans Martin Monsen",3,male,21,0
"Charters, Mr. David",3,male,21,0
"Windelov, Mr. Einar",3,male,21,0
"Stanley, Mr. Edward Roland",3,male,21,0
"Hansen, Mr. Henry Damsgaard",3,male,21,0
"Bowen, Mr. David John ""Dai""",3,male,21,0
"Kalvik, Mr. Johannes Halvorsen",3,male,21,0
"Pasic, Mr. Jakob",3,male,21,0
"Braund, Mr. Owen Harris",3,male,22,0
"Sirayanian, Mr. Orsen",3,male,22,0
"Waelens, Mr. Achille",3,male,22,0
"Barton, Mr. David John",3,male,22,0
"Perkin, Mr. John Henry",3,male,22,0
"Berglund, Mr. Karl Ivar Sven",3,male,22,0
"Maenpaa, Mr. Matti Alexanteri",3,male,22,0
"Naidenoff, Mr. Penko",3,male,22,0
"Dennis, Mr. Samuel",3,male,22,0
"Johansson, Mr. Erik",3,male,22,0
"Karlsson, Mr. Nils August",3,male,22,0
"Vovk, Mr. Janko",3,male,22,0
"Leeni, Mr. Fahim (""Philip Zenni"")",3,male,22,1
"Gilinski, Mr. Eliezer",3,male,22,0
"Odahl, Mr. Nils Martin",3,male,23,0
"Jonkoff, Mr. Lalio",3,male,23,0
"Augustsson, Mr. Albert",3,male,23,0
"Hanna, Mr. Mansour",3,male,23.5,0
"Celotti, Mr. Francesco",3,male,24,0
"Madsen, Mr. Fridtjof Arne",3,male,24,1
"Ali, Mr. Ahmed",3,male,24,0
"Mineff, Mr. Ivan",3,male,24,0
"Svensson, Mr. Olof",3,male,24,0
"Coleff, Mr. Satio",3,male,24,0
"Davies, Mr. Alfred J",3,male,24,0
"McNamee, Mr. Neal",3,male,24,0
"Lievens, Mr. Rene Aime",3,male,24,0
"Sawyer, Mr. Frederick Charles",3,male,24.5,0
"Moen, Mr. Sigurd Hansen",3,male,25,0
"Persson, Mr. Ernst Ulrik",3,male,25,1
"Tornquist, Mr. William Henry",3,male,25,1
"Arnold-Franchi, Mr. Josef",3,male,25,0
"Petterson, Mr. Johan Emil",3,male,25,0
"Saad, Mr. Khalil",3,male,25,0
"Gallagher, Mr. Martin",3,male,25,0
"Ali, Mr. William",3,male,25,0
"Harmer, Mr. Abraham (David Lishin)",3,male,25,0
"Dantcheff, Mr. Ristiu",3,male,25,0
"Sutehall, Mr. Henry Jr",3,male,25,0
"Kink, Mr. Vincenz",3,male,26,0
"Chronopoulos, Mr. Apostolos",3,male,26,0
"Dean, Mr. Bertram Frank",3,male,26,0
"Bengtsson, Mr. John Viktor",3,male,26,0
"Albimona, Mr. Nassef Cassem",3,male,26,1
"Adams, Mr. John",3,male,26,0
"Lang, Mr. Fang",3,male,26,1
"Bostandyeff, Mr. Guentcho",3,male,26,0
"Hansen, Mr. Henrik Juul",3,male,26,0
"Alexander, Mr. William",3,male,26,0
"Balkic, Mr. Cerin",3,male,26,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",3,male,27,1
"Danoff, Mr. Yoto",3,male,27,0
"Yasbeck, Mr. Antoni",3,male,27,0
"Hedman, Mr. Oskar Arvid",3,male,27,1
"Lulic, Mr. Nikola",3,male,27,1
"Mionoff, Mr. Stoytcho",3,male,28,0
"Ling, Mr. Lee",3,male,28,0
"Vande Walle, Mr. Nestor Cyriel",3,male,28,0
"Olsson, Mr. Nils Johan Goransson",3,male,28,0
"Hendekovic, Mr. Ignjac",3,male,28,0
"Vanden Steen, Mr. Leo Peter",3,male,28,0
"Gustafsson, Mr. Johan Birger",3,male,28,0
"Hakkarainen, Mr. Pekka Pietari",3,male,28,0
"Olsen, Mr. Henry Margido",3,male,28,0
"Carlsson, Mr. August Sigfrid",3,male,28,0
"Novel, Mr. Mansouer",3,male,28.5,0
"Williams, Mr. Leslie",3,male,28.5,0
"Sheerlinck, Mr. Jan Baptist",3,male,29,1
"Christmann, Mr. Emil",3,male,29,0
"Larsson, Mr. Bengt Edvin",3,male,29,0
"Zimmerman, Mr. Leo",3,male,29,0
"Jalsevac, Mr. Ivan",3,male,29,1
"Braund, Mr. Lewis Richard",3,male,29,0
"Daly, Mr. Eugene Patrick",3,male,29,1
"Larsson, Mr. August Viktor",3,male,29,0
"Corn, Mr. Harry",3,male,30,0
"Attalah, Mr. Sleiman",3,male,30,0
"Lobb, Mr. William Arthur",3,male,30,0
"de Mulder, Mr. Theodore",3,male,30,1
"Adahl, Mr. Mauritz Nils Martin",3,male,30,0
"Somerton, Mr. Francis William",3,male,30,0
"Karaic, Mr. Milan",3,male,30,0
"Ibrahim Shawah, Mr. Yousseff",3,male,30,0
"Tomlin, Mr. Ernest Portage",3,male,30.5,0
"Stranden, Mr. Juho",3,male,31,1
"Connaghton, Mr. Michael",3,male,31,0
"Johansson, Mr. Karl Johan",3,male,31,0
"Bing, Mr. Lee",3,male,32,1
"Backstrom, Mr. Karl Alfred",3,male,32,0
"Tikkanen, Mr. Juho",3,male,32,0
"Pickard, Mr. Berk (Berk Trembisky)",3,male,32,1
"Pavlovic, Mr. Stefo",3,male,32,0
"Jonsson, Mr. Carl",3,male,32,1
"Jussila, Mr. Eiriik",3,male,32,1
"Leinonen, Mr. Antti Gustaf",3,male,32,0
"Gronnestad, Mr. Daniel Danielsen",3,male,32,0
"Chip, Mr. Chang",3,male,32,1
"Dooley, Mr. Patrick",3,male,32,0
"Johansson, Mr. Gustaf Joel",3,male,33,0
"Drazenoic, Mr. Jozef",3,male,33,0
"Stankovic, Mr. Ivan",3,male,33,0
"Goldsmith, Mr. Frank John",3,male,33,0
"Johnson, Mr. Malkolm Joackim",3,male,33,0
"Vande Velde, Mr. Johannes Joseph",3,male,33,0
"Markun, Mr. Johann",3,male,33,0
"Johanson, Mr. Jakob Alfred",3,male,34,0
"Morley, Mr. William",3,male,34,0
"Danbom, Mr. Ernst Gilbert",3,male,34,0
"Theobald, Mr. Thomas Leonard",3,male,34,0
"Lemberopolous, Mr. Peter L",3,male,34.5,0
"Allen, Mr. William Henry",3,male,35,0
"Asim, Mr. Adola",3,male,35,0
"Rintamaki, Mr. Matti",3,male,35,0
"Brocklebank, Mr. William Alfred",3,male,35,0
"Markoff, Mr. Marin",3,male,35,0
"Leonard, Mr. Lionel",3,male,36,0
"Turcin, Mr. Stjepan",3,male,36,0
"Van Impe, Mr. Jean Baptiste",3,male,36,0
"Lindell, Mr. Edvard Bengtsson",3,male,36,0
"Coleff, Mr. Peju",3,male,36,0
"Gustafsson, Mr. Anders Vilhelm",3,male,37,0
"Rekic, Mr. Tido",3,male,38,0
"Goncalves, Mr. Manuel Estanslas",3,male,38,0
"Cacic, Mr. Luka",3,male,38,0
"Andersson, Mr. Anders Johan",3,male,39,0
"Niskanen, Mr. Juha",3,male,39,1
"Salonen, Mr. Johan Werner",3,male,39,0
"Lester, Mr. James",3,male,39,0
"Bourke, Mr. John",3,male,40,0
"Skoog, Mr. Wilhelm",3,male,40,0
"Sivic, Mr. Husein",3,male,40,0
"Badt, Mr. Mohamed",3,male,40,0
"van Billiard, Mr. Austin Blyler",3,male,40.5,0
"Farrell, Mr. James",3,male,40.5,0
"Nirva, Mr. Iisakki Antino Aijo",3,male,41,0
"Hansen, Mr. Claus Peter",3,male,41,0
"Olsen, Mr. Karl Siegwart Andreas",3,male,42,0
"Dimic, Mr. Jovan",3,male,42,0
"Humblen, Mr. Adolf Mathias Nicolai Olsen",3,male,42,0
"Abbing, Mr. Anthony",3,male,42,0
"Cook, Mr. Jacob",3,male,43,0
"Holm, Mr. John Fredrik Alexander",3,male,43,0
"Cribb, Mr. John Hatfield",3,male,44,0
"Sundman, Mr. Johan Julian",3,male,44,1
"Torber, Mr. Ernst William",3,male,44,0
"Kelly, Mr. James",3,male,44,0
"Ekstrom, Mr. Johan",3,male,45,0
"Dahl, Mr. Karl Edwart",3,male,45,1
"Youseff, Mr. Gerious",3,male,45.5,0
"Elsbury, Mr. William James",3,male,47,0
"Vander Cruyssen, Mr. Victor",3,male,47,0
"Jensen, Mr. Niels Peder",3,male,48,0
"Johnson, Mr. Alfred",3,male,49,0
"Rouse, Mr. Richard Henry",3,male,50,0
"Green, Mr. George Henry",3,male,51,0
"Widegren, Mr. Carl/Charles Peter",3,male,51,0
"Lundahl, Mr. Johan Svensson",3,male,51,0
"Meo, Mr. Alfonzo",3,male,55.5,0
"Coxon, Mr. Daniel",3,male,59,0
"Nysveen, Mr. Johan Hansen",3,male,61,0
"Duane, Mr. Frank",3,male,65,0
"Connors, Mr. Patrick",3,male,70.5,0
"Svensson, Mr. Johan",3,male,74,0
